RSSD ID,Institution Name,Location,TotalAssets,Date
1039502,JPMORGAN CHASE & CO.,"NEW YORK, NY","$2,466,096,000",20160630
1073757,BANK OF AMERICA CORPORATION,"CHARLOTTE, NC","$2,189,811,000",20160630
1120754,WELLS FARGO & COMPANY,"SAN FRANCISCO, CA","$1,889,235,000",20160630
1951350,CITIGROUP INC.,"NEW YORK, NY","$1,818,771,000",20160630
2380443,"GOLDMAN SACHS GROUP, INC., THE","NEW YORK, NY","$896,870,000",20160630
2162966,MORGAN STANLEY,"NEW YORK, NY","$828,873,000",20160630
1119794,U.S. BANCORP,"MINNEAPOLIS, MN","$438,463,000",20160630
3587146,"BANK OF NEW YORK MELLON CORPORATION, THE","NEW YORK, NY","$372,351,000",20160630
1069778,"PNC FINANCIAL SERVICES GROUP, INC., THE","PITTSBURGH, PA","$361,528,406",20160630
2277860,CAPITAL ONE FINANCIAL CORPORATION,"MCLEAN, VA","$339,247,718",20160630
3232316,HSBC NORTH AMERICA HOLDINGS INC.,"NEW YORK, NY","$295,534,689",20160630
3606542,TD GROUP US HOLDINGS LLC,"WILMINGTON, DE","$276,317,370",20160630
1607170,TEACHERS INSURANCE & ANNUITY ASSOCIATION OF AMERICA,"NEW YORK, NY","$276,045,408",20160630
1111435,STATE STREET CORPORATION,"BOSTON, MA","$255,396,733",20160630
1074156,BB&T; CORPORATION,"WINSTON SALEM, NC","$221,858,615",20160630
1131787,"SUNTRUST BANKS, INC.","ATLANTA, GA","$199,276,480",20160630
1026632,"CHARLES SCHWAB CORPORATION, THE","SAN FRANCISCO, CA","$198,052,000",20160630
1275216,AMERICAN EXPRESS COMPANY,"NEW YORK, NY","$159,632,000",20160630
1562859,ALLY FINANCIAL INC.,"DETROIT, MI","$157,931,000",20160630
3226762,RBC USA HOLDCO CORPORATION,"NEW YORK, NY","$151,710,605",20160630
1132449,"CITIZENS FINANCIAL GROUP, INC.","PROVIDENCE, RI","$145,568,297",20160630
1447376,UNITED SERVICES AUTOMOBILE ASSOCIATION,"SAN ANTONIO, TX","$144,819,412",20160630
3840207,STATE FARM MUTUAL AUTOMOBILE INSURANCE COMPANY,"BLOOMINGTON, IL","$143,801,553",20160630
1070345,FIFTH THIRD BANCORP,"CINCINNATI, OH","$143,625,325",20160630
1245415,BMO FINANCIAL CORP.,"WILMINGTON, DE","$132,007,952",20160630
3981856,"SANTANDER HOLDINGS USA, INC.","BOSTON, MA","$126,502,203",20160630
3242838,REGIONS FINANCIAL CORPORATION,"BIRMINGHAM, AL","$126,378,482",20160630
1037003,M&T; BANK CORPORATION,"BUFFALO, NY","$123,820,584",20160630
1199611,NORTHERN TRUST CORPORATION,"CHICAGO, IL","$121,509,559",20160630
1378434,MUFG AMERICAS HOLDINGS CORPORATION,"NEW YORK, NY","$117,205,079",20160630
1068025,KEYCORP,"CLEVELAND, OH","$101,406,977",20160630
1078529,"BBVA COMPASS BANCSHARES, INC.","HOUSTON, TX","$91,753,156",20160630
3846375,DISCOVER FINANCIAL SERVICES,"RIVERWOODS, IL","$87,511,328",20160630
4504654,SYNCHRONY FINANCIAL,"STAMFORD, CT","$82,384,173",20160630
4989420,BANCWEST HOLDING INC.,"SAN FRANCISCO, CA","$80,624,408",20160630
1068191,HUNTINGTON BANCSHARES INCORPORATED,"COLUMBUS, OH","$73,954,016",20160630
1199844,COMERICA INCORPORATED,"DALLAS, TX","$71,440,155",20160630
1036967,CIT GROUP INC.,"LIVINGSTON, NJ","$66,783,624",20160630
1027004,ZIONS BANCORPORATION,"SALT LAKE CITY, UT","$59,642,992",20160630
1032473,DEUTSCHE BANK TRUST CORPORATION,"NEW YORK, NY","$54,629,000",20160630
3412583,E*TRADE FINANCIAL CORPORATION,"NEW YORK, NY","$49,202,038",20160630
2132932,"NEW YORK COMMUNITY BANCORP, INC.","WESTBURY, NY","$49,035,747",20160630
1031449,SVB FINANCIAL GROUP,"SANTA CLARA, CA","$43,147,945",20160630
3650152,"PEOPLE'S UNITED FINANCIAL, INC.","BRIDGEPORT, CT","$40,120,118",20160630
2648693,"FIRST NIAGARA FINANCIAL GROUP, INC.","BUFFALO, NY","$39,998,293",20160630
1583836,MUTUAL OF OMAHA INSURANCE COMPANY,"OMAHA, NE","$38,009,856",20160630
1129382,"POPULAR, INC.","SAN JUAN, PR","$37,606,000",20160630
3828072,NATIONWIDE MUTUAL INSURANCE COMPANY,"COLUMBUS, OH","$36,667,697",20160630
3843075,JOHN DEERE CAPITAL CORPORATION,"RENO, NV","$35,453,189",20160630
2734233,"EAST WEST BANCORP, INC.","PASADENA, CA","$32,952,138",20160630
1075612,"FIRST CITIZENS BANCSHARES, INC.","RALEIGH, NC","$32,230,403",20160630
1883693,BOK FINANCIAL CORPORATION,"TULSA, OK","$32,050,291",20160630
2938451,BARCLAYS DELAWARE HOLDINGS LLC,"WILMINGTON, DE","$29,672,671",20160630
1078846,SYNOVUS FINANCIAL CORP.,"COLUMBUS, GA","$29,459,691",20160630
1199563,ASSOCIATED BANC-CORP,"GREEN BAY, WI","$29,038,699",20160630
1102367,"CULLEN/FROST BANKERS, INC.","SAN ANTONIO, TX","$29,014,585",20160630
3815157,"RAYMOND JAMES FINANCIAL, INC.","SAINT PETERSBURG, FL","$28,841,247",20160630
1094640,FIRST HORIZON NATIONAL CORPORATION,"MEMPHIS, TN","$27,541,899",20160630
3838857,EVERBANK FINANCIAL CORP,"JACKSONVILLE, FL","$27,354,310",20160630
4028712,"BANKUNITED, INC.","MIAMI LAKES, FL","$26,309,192",20160630
1070804,FIRSTMERIT CORPORATION,"AKRON, OH","$26,153,691",20160630
2307280,"UTRECHT-AMERICA HOLDINGS, INC.","NEW YORK, NY","$25,363,698",20160630
1145476,WEBSTER FINANCIAL CORPORATION,"WATERBURY, CT","$25,131,298",20160630
1049341,"COMMERCE BANCSHARES, INC.","KANSAS CITY, MO","$24,726,507",20160630
2260406,WINTRUST FINANCIAL CORPORATION,"ROSEMONT, IL","$24,427,295",20160630
2747644,UMPQUA HOLDINGS CORPORATION,"PORTLAND, OR","$24,132,600",20160630
1086533,HANCOCK HOLDING COMPANY,"GULFPORT, MS","$23,071,656",20160630
3242735,"SCOTTRADE FINANCIAL SERVICES, INC.","TOWN AND COUNTRY, MO","$22,466,924",20160630
1109599,"PROSPERITY BANCSHARES, INC.","HOUSTON, TX","$21,880,979",20160630
1048773,VALLEY NATIONAL BANCORP,"WAYNE, NJ","$21,809,738",20160630
2477754,"INVESTORS BANCORP, INC.","SHORT HILLS, NJ","$21,733,831",20160630
3005332,F.N.B. CORPORATION,"PITTSBURGH, PA","$21,214,967",20160630
2875332,PACWEST BANCORP,"BEVERLY HILLS, CA","$21,147,143",20160630
2389941,TCF FINANCIAL CORPORATION,"WAYZATA, MN","$21,081,736",20160630
2706735,"TEXAS CAPITAL BANCSHARES, INC.","DALLAS, TX","$21,081,024",20160630
4103310,"MACY'S, INC.","CINCINNATI, OH","$20,197,613",20160630
2291914,IBERIABANK CORPORATION,"LAFAYETTE, LA","$20,160,855",20160630
1049828,UMB FINANCIAL CORPORATION,"KANSAS CITY, MO","$19,734,076",20160630
1025608,"FIRST HAWAIIAN, INC.","HONOLULU, HI","$19,052,593",20160630
1020902,"FIRST NATIONAL OF NEBRASKA, INC.","OMAHA, NE","$18,783,090",20160630
1117129,FULTON FINANCIAL CORPORATION,"LANCASTER, PA","$18,433,910",20160630
1839319,"PRIVATEBANCORP, INC.","CHICAGO, IL","$18,169,191",20160630
2349815,WESTERN ALLIANCE BANCORPORATION,"PHOENIX, AZ","$16,728,767",20160630
1095674,"ARVEST BANK GROUP, INC.","BENTONVILLE, AR","$16,634,738",20160630
1060627,FIRSTBANK HOLDING COMPANY,"LAKEWOOD, CO","$16,235,257",20160630
1090987,"MB FINANCIAL, INC.","CHICAGO, IL","$15,995,790",20160630
1025309,BANK OF HAWAII CORPORATION,"HONOLULU, HI","$15,916,031",20160630
3063622,STIFEL FINANCIAL CORP.,"SAINT LOUIS, MO","$15,248,777",20160630
3057395,MODERN WOODMEN OF AMERICA,"ROCK ISLAND, IL","$15,097,370",20160630
2504128,ASTORIA FINANCIAL CORPORATION,"LAKE SUCCESS, NY","$15,017,071",20160630
3065617,"WASHINGTON FEDERAL, INC.","SEATTLE, WA","$14,821,600",20160630
1098303,OLD NATIONAL BANCORP,"EVANSVILLE, IN","$14,420,599",20160630
1076217,"UNITED BANKSHARES, INC.","CHARLESTON, WV","$14,338,012",20160630
1097614,"BANCORPSOUTH, INC.","TUPELO, MS","$14,130,157",20160630
3852022,"FLAGSTAR BANCORP, INC.","TROY, MI","$13,723,711",20160630
1843080,CATHAY GENERAL BANCORP,"LOS ANGELES, CA","$13,493,177",20160630
3083291,STERLING BANCORP,"MONTEBELLO, NY","$13,089,172",20160630
3838727,"HILLTOP HOLDINGS, INC","DALLAS, TX","$13,077,902",20160630
1079562,TRUSTMARK CORPORATION,"JACKSON, MS","$13,030,349",20160630
3446412,"APPLE FINANCIAL HOLDINGS, INC.","NEW YORK, NY","$12,884,030",20160630
3828036,"THIRD FEDERAL SAVINGS AND LOAN OF CLEVELAND, MHC","CLEVELAND, OH","$12,624,307",20160630
2744894,FIRST BANCORP,"SAN JUAN, PR","$12,508,702",20160630
2568278,MIDLAND FINANCIAL CO.,"OKLAHOMA CITY, OK","$12,301,042",20160630
1094314,"CENTRAL BANCOMPANY, INC","JEFFERSON CITY, MO","$12,292,830",20160630
1097089,BANK OF THE OZARKS INC,"LITTLE ROCK, AR","$12,279,579",20160630
3842957,"HAWAIIAN ELECTRIC INDUSTRIES, INC.","HONOLULU, HI","$11,979,239",20160630
1104231,INTERNATIONAL BANCSHARES CORPORATION,"LAREDO, TX","$11,776,640",20160630
4809920,"GREAT WESTERN BANCORP, INC.","SIOUX FALLS, SD","$11,453,222",20160630
1020180,BREMER FINANCIAL CORPORATION,"SAINT PAUL, MN","$11,340,612",20160630
1208184,"FIRST MIDWEST BANCORP, INC.","ITASCA, IL","$10,995,810",20160630
3825204,COUNTRY LIFE INSURANCE COMPANY,"BLOOMINGTON, IL","$10,264,654",20160630
3153130,"BANC OF CALIFORNIA, INC.","IRVINE, CA","$10,157,662",20160630
1427239,EASTERN BANK CORPORATION,"BOSTON, MA","$10,025,463",20160630
1039502,JPMORGAN CHASE & CO.,"NEW YORK, NY","$2,423,808,000",20160331
1073757,BANK OF AMERICA CORPORATION,"CHARLOTTE, NC","$2,188,633,000",20160331
1120754,WELLS FARGO & COMPANY,"SAN FRANCISCO, CA","$1,849,182,000",20160331
1951350,CITIGROUP INC.,"NEW YORK, NY","$1,800,967,000",20160331
2380443,"GOLDMAN SACHS GROUP, INC., THE","NEW YORK, NY","$878,102,000",20160331
2162966,MORGAN STANLEY,"NEW YORK, NY","$807,497,000",20160331
1119794,U.S. BANCORP,"MINNEAPOLIS, MN","$428,638,000",20160331
3587146,"BANK OF NEW YORK MELLON CORPORATION, THE","NEW YORK, NY","$372,870,000",20160331
1069778,"PNC FINANCIAL SERVICES GROUP, INC., THE","PITTSBURGH, PA","$361,187,040",20160331
2277860,CAPITAL ONE FINANCIAL CORPORATION,"MCLEAN, VA","$330,489,235",20160331
3232316,HSBC NORTH AMERICA HOLDINGS INC.,"NEW YORK, NY","$289,057,276",20160331
4932239,"GE CAPITAL GLOBAL HOLDINGS, LLC","NORWALK, CT","$287,622,464",20160331
3606542,TD GROUP US HOLDINGS LLC,"WILMINGTON, DE","$274,386,676",20160331
1607170,TEACHERS INSURANCE & ANNUITY ASSOCIATION OF AMERICA,"NEW YORK, NY","$272,101,594",20160331
1111435,STATE STREET CORPORATION,"BOSTON, MA","$243,685,368",20160331
1074156,BB&T; CORPORATION,"WINSTON SALEM, NC","$212,405,266",20160331
1131787,"SUNTRUST BANKS, INC.","ATLANTA, GA","$194,253,274",20160331
1026632,"CHARLES SCHWAB CORPORATION, THE","SAN FRANCISCO, CA","$190,998,000",20160331
1275216,AMERICAN EXPRESS COMPANY,"NEW YORK, NY","$158,804,000",20160331
1562859,ALLY FINANCIAL INC.,"DETROIT, MI","$156,505,000",20160331
1070345,FIFTH THIRD BANCORP,"CINCINNATI, OH","$142,430,207",20160331
1447376,UNITED SERVICES AUTOMOBILE ASSOCIATION,"SAN ANTONIO, TX","$142,123,097",20160331
3840207,STATE FARM MUTUAL AUTOMOBILE INSURANCE COMPANY,"BLOOMINGTON, IL","$141,283,619",20160331
1132449,"CITIZENS FINANCIAL GROUP, INC.","PROVIDENCE, RI","$140,409,385",20160331
3226762,RBC USA HOLDCO CORPORATION,"NEW YORK, NY","$139,892,217",20160331
3981856,"SANTANDER HOLDINGS USA, INC.","BOSTON, MA","$131,098,910",20160331
1245415,BMO FINANCIAL CORP.,"WILMINGTON, DE","$125,793,219",20160331
3242838,REGIONS FINANCIAL CORPORATION,"BIRMINGHAM, AL","$125,747,379",20160331
1037003,M&T; BANK CORPORATION,"BUFFALO, NY","$124,625,632",20160331
1378434,MUFG AMERICAS HOLDINGS CORPORATION,"NEW YORK, NY","$120,914,763",20160331
1199611,NORTHERN TRUST CORPORATION,"CHICAGO, IL","$117,798,813",20160331
1068025,KEYCORP,"CLEVELAND, OH","$98,570,702",20160331
1025608,BANCWEST CORPORATION,"HONOLULU, HI","$96,194,245",20160331
1078529,"BBVA COMPASS BANCSHARES, INC.","HOUSTON, TX","$92,152,260",20160331
3846375,DISCOVER FINANCIAL SERVICES,"RIVERWOODS, IL","$88,093,339",20160331
4504654,SYNCHRONY FINANCIAL,"STAMFORD, CT","$81,655,558",20160331
1068191,HUNTINGTON BANCSHARES INCORPORATED,"COLUMBUS, OH","$72,644,967",20160331
1199844,COMERICA INCORPORATED,"DALLAS, TX","$69,131,436",20160331
1036967,CIT GROUP INC.,"LIVINGSTON, NJ","$67,188,228",20160331
1027004,ZIONS BANCORPORATION,"SALT LAKE CITY, UT","$59,179,913",20160331
1032473,DEUTSCHE BANK TRUST CORPORATION,"NEW YORK, NY","$53,106,000",20160331
2132932,"NEW YORK COMMUNITY BANCORP, INC.","WESTBURY, NY","$48,515,572",20160331
3412583,E*TRADE FINANCIAL CORPORATION,"NEW YORK, NY","$47,943,401",20160331
1031449,SVB FINANCIAL GROUP,"SANTA CLARA, CA","$43,597,787",20160331
2648693,"FIRST NIAGARA FINANCIAL GROUP, INC.","BUFFALO, NY","$40,078,307",20160331
3650152,"PEOPLE'S UNITED FINANCIAL, INC.","BRIDGEPORT, CT","$39,243,916",20160331
1583836,MUTUAL OF OMAHA INSURANCE COMPANY,"OMAHA, NE","$37,383,572",20160331
1129382,"POPULAR, INC.","SAN JUAN, PR","$36,147,000",20160331
3828072,NATIONWIDE MUTUAL INSURANCE COMPANY,"COLUMBUS, OH","$35,947,340",20160331
3843075,JOHN DEERE CAPITAL CORPORATION,"RENO, NV","$34,750,522",20160331
2734233,"EAST WEST BANCORP, INC.","PASADENA, CA","$33,109,185",20160331
1075612,"FIRST CITIZENS BANCSHARES, INC.","RALEIGH, NC","$32,195,657",20160331
1883693,BOK FINANCIAL CORPORATION,"TULSA, OK","$31,450,894",20160331
2938451,BARCLAYS DELAWARE HOLDINGS LLC,"WILMINGTON, DE","$29,374,606",20160331
1078846,SYNOVUS FINANCIAL CORP.,"COLUMBUS, GA","$29,171,257",20160331
1102367,"CULLEN/FROST BANKERS, INC.","SAN ANTONIO, TX","$28,477,488",20160331
1199563,ASSOCIATED BANC-CORP,"GREEN BAY, WI","$28,178,867",20160331
3815157,"RAYMOND JAMES FINANCIAL, INC.","SAINT PETERSBURG, FL","$27,751,661",20160331
1094640,FIRST HORIZON NATIONAL CORPORATION,"MEMPHIS, TN","$26,965,746",20160331
3838857,EVERBANK FINANCIAL CORP,"JACKSONVILLE, FL","$26,641,399",20160331
1070804,FIRSTMERIT CORPORATION,"AKRON, OH","$26,083,503",20160331
2307280,"UTRECHT-AMERICA HOLDINGS, INC.","NEW YORK, NY","$25,082,990",20160331
1145476,WEBSTER FINANCIAL CORPORATION,"WATERBURY, CT","$24,937,488",20160331
4028712,"BANKUNITED, INC.","MIAMI LAKES, FL","$24,819,488",20160331
1049341,"COMMERCE BANCSHARES, INC.","KANSAS CITY, MO","$24,519,161",20160331
2747644,UMPQUA HOLDINGS CORPORATION,"PORTLAND, OR","$23,935,765",20160331
2260406,WINTRUST FINANCIAL CORPORATION,"ROSEMONT, IL","$23,492,196",20160331
3242735,"SCOTTRADE FINANCIAL SERVICES, INC.","TOWN AND COUNTRY, MO","$22,857,531",20160331
1086533,HANCOCK HOLDING COMPANY,"GULFPORT, MS","$22,817,169",20160331
1109599,"PROSPERITY BANCSHARES, INC.","HOUSTON, TX","$22,067,070",20160331
1048773,VALLEY NATIONAL BANCORP,"WAYNE, NJ","$21,727,523",20160331
2389941,TCF FINANCIAL CORPORATION,"WAYZATA, MN","$21,333,329",20160331
2477754,"INVESTORS BANCORP, INC.","SHORT HILLS, NJ","$21,200,387",20160331
2875332,PACWEST BANCORP,"BEVERLY HILLS, CA","$21,031,465",20160331
4103310,"MACY'S, INC.","CINCINNATI, OH","$20,575,872",20160331
3005332,F.N.B. CORPORATION,"PITTSBURGH, PA","$20,324,524",20160331
2706735,"TEXAS CAPITAL BANCSHARES, INC.","DALLAS, TX","$20,210,931",20160331
2291914,IBERIABANK CORPORATION,"LAFAYETTE, LA","$20,092,563",20160331
1049828,UMB FINANCIAL CORPORATION,"KANSAS CITY, MO","$19,302,913",20160331
1020902,"FIRST NATIONAL OF NEBRASKA, INC.","OMAHA, NE","$18,509,333",20160331
1117129,FULTON FINANCIAL CORPORATION,"LANCASTER, PA","$18,081,922",20160331
1839319,"PRIVATEBANCORP, INC.","CHICAGO, IL","$17,667,372",20160331
